Genre,Publisher,Rating,Greatest_Sales
Role-Playing,Enix Corporation,?,JP
Role-Playing,Electronic Arts,M,NA
Platform,Sony Computer Entertainment,E10+,Other
Role-Playing,Nintendo,E,JP
Sports,Electronic Arts,E,NA
Shooter,Atari,?,NA
Action,Activision,E10+,NA
Sports,Take-Two Interactive,E,NA
Misc,Nintendo,E,EU
Racing,Acclaim Entertainment,T,EU
Action,Nintendo,?,NA
Role-Playing,Capcom,?,Other
Racing,Electronic Arts,?,EU
Sports,Konami Digital Entertainment,E,EU
Sports,Konami Digital Entertainment,?,Other
Misc,Nintendo,?,JP
Role-Playing,Activision,T,NA
Action,Take-Two Interactive,?,NA
Fighting,Midway Games,M,NA
Misc,Midway Games,E,NA
Action,Eidos Interactive,?,EU
Misc,Nintendo,E,JP
Racing,Disney Interactive Studios,E,NA
Misc,Electronic Arts,T,NA
Sports,Take-Two Interactive,E,NA
Action,THQ,M,Other
Shooter,Sony Computer Entertainment,M,Other
Sports,Take-Two Interactive,E,Other
Racing,Take-Two Interactive,T,NA
Role-Playing,SquareSoft,T,JP
Role-Playing,SquareSoft,?,JP
Racing,Sony Computer Entertainment,?,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Simulation,Electronic Arts,T,EU
Sports,Electronic Arts,E,NA
Adventure,Red Or,E,NA
Misc,THQ,E,NA
Platform,Sega,?,JP
Sports,Nintendo,?,JP
Shooter,Ubisoft,M,NA
Action,Square Enix,?,Other
Racing,Electronic Arts,E10+,Other
Fighting,Atari,T,JP
Sports,Konami Digital Entertainment,E,JP
Racing,Sony Computer Entertainment,E,NA
Action,Capcom,?,JP
Racing,Electronic Arts,E10+,Other
Shooter,Microsoft Game Studios,M,NA
Puzzle,JVC,?,NA
Fighting,Nintendo,?,JP
Strategy,Electronic Arts,K-A,NA
Adventure,Konami Digital Entertainment,E,NA
Sports,Electronic Arts,E,NA
Misc,Hasbro Interactive,?,NA
Sports,Take-Two Interactive,E,Other
Misc,RedOctane,T,NA
